Name,Chapter Affiliation,Zip Code,LinkedIn,Instagram,Phone Number,Email,LinkedIn Public,Instagram Public,Phone Number Public,Email Public,Latitude,Longitude
Elizabeth Nelson,YNG San Diego,92110,elizabethnelson,elizabethnelson,+1 (555) 155-8327,elizabeth.nelson@mac.com,yes,no,no,no,32.77009927021764,-117.1986468325697
Johnathan Rodriguez Jr.,YNG San Francisco,94107,johnathanrodriguezjr.,johnathanrodriguezjr.,+1 (555) 726-3272,johnathan.rodriguez.jr.@stanford.edu,no,yes,yes,yes,37.783257284117646,-122.40295517617648
Benjamin Stevens,YNG San Diego,92117,benjaminstevens,benjaminstevens,+1 (555) 099-4230,benjamin.stevens@company.com,no,yes,yes,yes,32.82418340396346,-117.19911553069103
Wayne Santos,YNG Las Vegas,89107,waynesantos,waynesantos,+1 (555) 243-5696,wayne.santos@mac.com,no,yes,no,yes,36.171054723404254,-115.21739790212767
Leslie Morales DDS,YNG Los Angeles,90002,NP,lesliemoralesdds,+1 (555) 426-2927,leslie.morales.dds@aol.com,NP,yes,no,no,33.95558161991525,-118.24753149491525
Alex Hall,YNG Seattle,98109,alexhall,alexhall,+1 (555) 850-7109,alex.hall@gmail.com,no,yes,no,no,47.63319124741345,-122.34864867968564
Barbara Simon,YNG Seattle,98103,barbarasimon,barbarasimon,+1 (555) 869-3558,barbara.simon@ucla.edu,yes,no,yes,no,47.67366397819063,-122.34400619761135
Sylvia Sanders,YNG Utah,84114,sylviasanders,NP,NP,sylvia.sanders@icloud.com,yes,NP,NP,yes,,
Steve Chandler,YNG LA Universities,90025,stevechandler,stevechandler,+1 (555) 357-9116,steve.chandler@icloud.com,yes,no,yes,yes,34.04410998329571,-118.45241107810382
Joseph Booth,YNG Utah,84110,josephbooth,josephbooth,+1 (555) 892-2370,joseph.booth@icloud.com,yes,yes,no,yes,,
Hannah Hernandez,YNG Seattle,98103,hannahhernandez,hannahhernandez,+1 (555) 562-5073,hannah.hernandez@icloud.com,yes,yes,no,yes,47.67366397819063,-122.34400619761135
Blake Coleman,YNG San Francisco,94114,blakecoleman,blakecoleman,NP,blake.coleman@ucla.edu,no,no,NP,no,37.76158910852018,-122.43637736233184
Chad Mcintyre,YNG San Diego,92115,chadmcintyre,NP,+1 (555) 316-0877,chad.mcintyre@stanford.edu,no,NP,no,yes,32.761065632043156,-117.07065309806838
Thomas Bowman,YNG Las Vegas,89106,thomasbowman,thomasbowman,+1 (555) 220-1249,thomas.bowman@mac.com,no,no,no,no,36.17634431707317,-115.16155537804877
Kerry Chambers,YNG San Francisco,94108,kerrychambers,kerrychambers,+1 (555) 973-8621,kerry.chambers@yahoo.com,no,no,no,no,37.790616552549025,-122.40632249019609
