Name,Chapter Affiliation,Zip Code,LinkedIn,Instagram,Phone Number,Email,LinkedIn Public,Instagram Public,Phone Number Public,Email Public
Elizabeth Nelson,YNG San Diego,92110,elizabethnelson,elizabethnelson,+1 (555) 155-8327,elizabeth.nelson@mac.com,yes,no,no,no
Johnathan Rodriguez Jr.,YNG San Francisco,94107,johnathanrodriguezjr.,johnathanrodriguezjr.,+1 (555) 726-3272,johnathan.rodriguez.jr.@stanford.edu,no,yes,yes,yes
Benjamin Stevens,YNG San Diego,92117,benjaminstevens,benjaminstevens,+1 (555) 099-4230,benjamin.stevens@company.com,no,yes,yes,yes
Wayne Santos,YNG Las Vegas,89107,waynesantos,waynesantos,+1 (555) 243-5696,wayne.santos@mac.com,no,yes,no,yes
Leslie Morales DDS,YNG Los Angeles,90002,NP,lesliemoralesdds,+1 (555) 426-2927,leslie.morales.dds@aol.com,NP,yes,no,no
Alex Hall,YNG Seattle,98109,alexhall,alexhall,+1 (555) 850-7109,alex.hall@gmail.com,no,yes,no,no
Barbara Simon,YNG Seattle,98103,barbarasimon,barbarasimon,+1 (555) 869-3558,barbara.simon@ucla.edu,yes,no,yes,no
Sylvia Sanders,YNG Utah,84114,sylviasanders,NP,NP,sylvia.sanders@icloud.com,yes,NP,NP,yes
Steve Chandler,YNG LA Universities,90025,stevechandler,stevechandler,+1 (555) 357-9116,steve.chandler@icloud.com,yes,no,yes,yes
Joseph Booth,YNG Utah,84110,josephbooth,josephbooth,+1 (555) 892-2370,joseph.booth@icloud.com,yes,yes,no,yes
Hannah Hernandez,YNG Seattle,98103,hannahhernandez,hannahhernandez,+1 (555) 562-5073,hannah.hernandez@icloud.com,yes,yes,no,yes
Blake Coleman,YNG San Francisco,94114,blakecoleman,blakecoleman,NP,blake.coleman@ucla.edu,no,no,NP,no
Chad Mcintyre,YNG San Diego,92115,chadmcintyre,NP,+1 (555) 316-0877,chad.mcintyre@stanford.edu,no,NP,no,yes
Thomas Bowman,YNG Las Vegas,89106,thomasbowman,thomasbowman,+1 (555) 220-1249,thomas.bowman@mac.com,no,no,no,no
Kerry Chambers,YNG San Francisco,94108,kerrychambers,kerrychambers,+1 (555) 973-8621,kerry.chambers@yahoo.com,no,no,no,no
Jesus Shelton,YNG San Francisco,94102,jesusshelton,jesusshelton,+1 (555) 301-0232,jesus.shelton@mac.com,no,no,yes,yes
Patrick Jones,YNG LA Universities,90025,patrickjones,patrickjones,+1 (555) 752-5353,patrick.jones@yahoo.com,no,yes,yes,yes
Rachel Marquez,YNG Las Vegas,89106,NP,rachelmarquez,+1 (555) 181-3727,rachel.marquez@outlook.com,NP,yes,no,no
Ryan Dawson,YNG Utah,84104,ryandawson,NP,+1 (555) 072-7060,ryan.dawson@company.com,no,NP,yes,no
Kevin Gonzales,YNG Utah,84107,kevingonzales,NP,+1 (555) 034-3046,kevin.gonzales@outlook.com,no,NP,no,no
Holly Calderon,YNG Las Vegas,89112,NP,hollycalderon,+1 (555) 841-1566,holly.calderon@cooper.biz,NP,no,yes,yes
Elizabeth Johnson,YNG Las Vegas,89110,elizabethjohnson,elizabethjohnson,+1 (555) 808-1401,elizabeth.johnson@mac.com,no,no,yes,yes
Christina Anderson,YNG Los Angeles,90014,christinaanderson,christinaanderson,NP,christina.anderson@yahoo.com,yes,yes,NP,no
Jack Smith,YNG Los Angeles,90012,jacksmith,jacksmith,+1 (555) 720-9624,jack.smith@aol.com,yes,yes,no,no
Debra Butler,YNG Seattle,98114,NP,debrabutler,+1 (555) 871-3932,debra.butler@ucla.edu,NP,no,no,yes
Marilyn Flores,YNG LA Universities,90041,marilynflores,marilynflores,+1 (555) 491-1010,marilyn.flores@icloud.com,yes,no,no,yes
Michael Horton,YNG San Francisco,94103,NP,michaelhorton,NP,michael.horton@wilson-robinson.com,NP,yes,NP,yes
Michael Jackson,YNG Los Angeles,90003,michaeljackson,NP,+1 (555) 285-3365,michael.jackson@icloud.com,no,NP,no,no
Kelly Hinton,YNG San Diego,92113,kellyhinton,kellyhinton,NP,kelly.hinton@horton.biz,yes,no,NP,no
James Bender,YNG San Francisco,94116,jamesbender,jamesbender,+1 (555) 115-6285,james.bender@aol.com,yes,yes,yes,yes
Megan Mccarthy,YNG Las Vegas,89109,meganmccarthy,meganmccarthy,+1 (555) 146-2761,megan.mccarthy@mac.com,yes,yes,yes,yes
Richard Howell,YNG Los Angeles,90013,NP,richardhowell,+1 (555) 668-1682,richard.howell@stanford.edu,NP,no,yes,no
Michele Campbell,YNG San Diego,92104,NP,michelecampbell,+1 (555) 554-3287,michele.campbell@mac.com,NP,yes,yes,yes
Megan Greene,YNG LA Universities,90038,megangreene,NP,+1 (555) 909-9178,megan.greene@gomez-taylor.com,no,NP,no,no
Maria Krause,YNG San Francisco,94110,mariakrause,mariakrause,+1 (555) 908-9310,maria.krause@gmail.com,no,no,no,yes
